pk,city_x,year_x,weekofyear_x,week_start_date,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_specific_humidity_g_per_kg,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm,city_y,year_y,weekofyear_y,total_cases
sj_1993_21,sj,1993,21,1993-05-28,0.01645,0.10485,0.05147143,0.0644,78.17,299.364285714,299.37857142900003,296.67571428599996,301.8,297.6,100.2,85.3985714286,78.17,18.185714285699998,2.27142857143,28.9428571429,7.22857142857,33.9,23.3,32.1,sj,1993,21,18
iq_2006_2,iq,2006,2,2006-01-15,0.2284,0.20207139999999998,0.19475,0.23035,138.46,298.728571429,300.3,296.37142857099997,307.7,293.5,47.6,88.33571428569999,138.46,18.1657142857,9.885714285710002,27.78,11.0,34.5,21.4,60.1,iq,2006,2,21
sj_2004_4,sj,2004,4,2004-01-22,-0.18635,-0.178625,-0.01553333,0.01025,0.0,297.728571429,298.107142857,293.66571428599997,300.2,295.7,1.1,78.2642857143,0.0,15.0614285714,3.04285714286,24.528571428600003,6.1,27.8,20.6,10.2,sj,2004,4,10
sj_2008_13,sj,2008,13,2008-03-25,0.07785,-0.0399,0.31047140000000006,0.29624290000000003,27.19,296.958571429,296.957142857,292.095714286,299.7,294.4,7.55,74.2471428571,27.19,13.6442857143,2.8857142857099998,25.0428571429,5.78571428571,30.0,21.1,1.8,sj,2008,13,4
sj_1998_33,sj,1998,33,1998-08-13,0.05346667,0.0935,0.1854333,0.1739,38.44,300.668571429,300.62142857099997,297.457142857,303.1,298.9,55.9,82.8,38.44,19.0157142857,2.27142857143,29.0714285714,6.34285714286,32.8,24.4,3.8,sj,1998,33,263
sj_2000_52,sj,2000,52,2000-01-01,-0.1336,-0.061225,0.1682,0.08631111,40.35,298.36714285700003,298.30714285700003,293.887142857,300.3,296.4,12.34,76.3171428571,40.35,15.2571428571,2.6428571428599996,25.471428571399997,6.55714285714,29.4,21.1,7.9,sj,2000,52,17
sj_1999_10,sj,1999,10,1999-03-12,-0.071225,0.043425,0.1611167,0.2284286,0.0,297.88285714299997,298.071428571,292.421428571,299.7,296.0,0.4,71.69142857140001,0.0,13.9357142857,2.48571428571,24.9571428571,7.514285714289999,29.4,20.6,0.0,sj,1999,10,27
sj_2003_28,sj,2003,28,2003-07-09,,0.29600000000000004,0.19168570000000001,0.175,10.83,299.92714285700004,299.957142857,296.1,301.8,298.1,44.04,79.6585714286,10.83,17.4871428571,2.54285714286,28.0428571429,6.18571428571,31.7,23.9,17.9,sj,2003,28,20
sj_1994_38,sj,1994,38,1994-09-24,,,,,39.22,299.885714286,300.035714286,295.961428571,302.3,298.1,50.7,79.3142857143,39.22,17.3542857143,1.9857142857099999,28.3714285714,6.18571428571,32.2,24.4,34.3,sj,1994,38,302
sj_1998_25,sj,1998,25,1998-06-18,0.0725,0.0509,0.2078286,0.1756286,49.52,300.517142857,300.564285714,296.435714286,303.0,298.9,15.4,78.53,49.52,17.8542857143,2.3857142857099998,28.1,6.52857142857,32.8,23.9,23.4,sj,1998,25,71
iq_2003_28,iq,2003,28,2003-07-09,0.1802714,0.1629714,0.1541286,0.1611,53.58,296.94285714299997,298.30714285700003,294.154285714,307.3,291.4,13.55,86.6557142857,53.58,15.6185714286,10.1,27.075,10.875,33.2,20.7,1.5,iq,2003,28,2
sj_1999_2,sj,1999,2,1999-01-15,-0.1399,-0.03763333,0.1813833,0.1448429,0.0,298.482857143,298.55,294.12,300.1,297.4,12.6,76.9542857143,0.0,15.4928571429,1.6714285714300001,25.0714285714,5.72857142857,28.3,20.0,20.6,sj,1999,2,77
iq_2006_13,iq,2006,13,2006-04-02,0.24505,0.18885,0.22353330000000002,0.18166670000000001,121.46,298.04,299.23571428599996,297.067142857,304.9,294.8,88.81,95.0242857143,121.46,18.7342857143,6.95714285714,28.3,10.0,33.7,22.0,53.9,iq,2006,13,18
iq_2006_14,iq,2006,14,2006-04-09,0.24167139999999998,0.2054,0.15601429999999997,0.2833143,41.68,297.77428571400003,299.44285714299997,296.047142857,308.3,293.8,87.9,91.8114285714,41.68,17.61,9.57142857143,27.9333333333,10.266666666699999,33.7,22.6,178.1,iq,2006,14,9
iq_2000_50,iq,2000,50,2000-12-16,0.3387857,0.31682859999999996,0.3503429,0.2977,111.06,298.757142857,300.342857143,294.52,311.4,291.9,48.76,80.4085714286,111.06,16.0985714286,11.9714285714,26.616666666700002,9.65,33.8,21.0,67.2,iq,2000,50,1
sj_1996_50,sj,1996,50,1996-12-09,,0.0495,0.15591429999999998,0.17600000000000002,0.0,297.827142857,297.978571429,292.662857143,300.6,295.2,3.8,73.2528571429,0.0,14.2457142857,2.75714285714,24.8,6.57142857143,30.0,20.6,3.1,sj,1996,50,27
iq_2000_32,iq,2000,32,2000-08-12,0.3124857,0.3299857,0.38058569999999997,0.38727140000000004,89.37,297.32,298.978571429,293.821428571,308.8,292.1,26.68,83.27571428569999,89.37,15.3114285714,11.4714285714,27.0166666667,11.65,34.0,19.9,72.9,iq,2000,32,0
