0,1,2,3,4,5,6,7,8,9,fitness
213,113,81,176,267,291,244,91,214,287,0.6607060629316961
108,95,197,259,250,152,66,77,116,170,0.653031465848043
272,138,228,152,67,209,238,52,256,106,0.6515349194167306
191,24,299,123,99,253,135,12,125,148,0.6513430544896393
243,21,104,29,283,155,131,203,102,149,0.6504988488104374
189,185,55,287,51,81,153,118,234,204,0.649577897160399
90,2,23,147,87,141,40,86,154,167,0.6471987720644666
62,127,235,257,146,235,266,274,182,123,0.6416730621642364
68,203,118,46,245,61,220,31,296,227,0.6378741366078281
4,257,49,38,286,37,240,189,175,297,0.6366078280890253
